date,open,high,low,close,volume,oi
2019-01-09,414.7,414.7,414.7,414.7,0,0
2019-01-10,426.2,426.2,426.2,426.2,0,0
2019-01-11,430.2,430.2,430.2,430.2,0,0
2019-01-14,430.2,430.2,430.2,430.2,0,0
2019-01-15,430.2,430.2,430.2,430.2,0,0
2019-01-16,430.2,430.2,430.2,430.2,0,0
2019-01-17,430.2,430.2,430.2,430.2,0,0
2019-01-18,431.0,431.0,431.0,431.0,0,0
2019-01-21,437.2,437.2,437.2,437.2,0,0
2019-01-22,445.7,445.7,445.7,445.7,0,0
2019-01-23,445.7,445.7,445.7,445.7,0,0
2019-01-24,445.7,445.7,445.7,445.7,0,0
2019-01-25,445.7,445.7,445.7,445.7,0,0
2019-01-28,445.7,445.7,445.7,445.7,0,0
2019-01-29,445.7,445.7,445.7,445.7,0,0
2019-01-30,445.7,445.7,445.7,445.7,0,0
2019-01-31,445.7,445.7,445.7,445.7,0,0
2019-02-01,445.7,445.7,445.7,445.7,0,0
2019-02-11,445.7,445.7,445.7,445.7,0,0
2019-02-12,457.5,457.5,445.7,457.5,4,4
2019-02-13,457.5,457.5,457.5,457.5,0,4
2019-02-14,464.8,464.8,438.7,438.7,12,8
2019-02-15,438.7,438.7,438.7,438.7,0,8
2019-02-18,451.9,451.9,451.9,451.9,0,8
2019-02-19,456.7,456.7,456.7,456.7,0,8
2019-02-20,456.7,456.7,456.7,456.7,0,8
2019-02-21,450.2,450.2,450.2,450.2,2,8
2019-02-22,454.2,454.2,454.2,454.2,2,8
2019-02-25,454.2,454.2,454.2,454.2,0,0
2019-02-26,454.2,454.2,454.2,454.2,0,0
2019-02-27,463.0,463.0,453.6,453.6,4,8
2019-02-28,453.6,453.6,453.6,453.6,0,8
2019-03-01,458.3,458.3,458.3,458.3,0,8
2019-03-04,458.3,458.3,458.3,458.3,0,8
2019-03-05,452.5,452.5,452.5,452.5,0,8
2019-03-06,452.5,452.5,452.5,452.5,0,8
2019-03-07,452.5,452.5,452.5,452.5,0,8
2019-03-08,452.5,452.5,452.5,452.5,0,8
2019-03-11,452.5,452.5,452.5,452.5,0,8
2019-03-12,460.0,460.0,460.0,460.0,2,8
2019-03-13,460.0,460.0,460.0,460.0,0,8
2019-03-14,460.0,460.0,460.0,460.0,0,8
2019-03-15,451.9,460.0,451.9,451.9,2,8
2019-03-18,451.9,451.9,451.9,451.9,0,8
2019-03-19,451.9,451.9,451.9,451.9,0,8
2019-03-20,451.9,451.9,451.9,451.9,0,8
2019-03-21,459.1,459.1,459.0,459.0,16,18
2019-03-22,459.0,459.0,459.0,459.0,0,18
2019-03-25,459.0,459.0,459.0,459.0,0,18
2019-03-26,456.0,456.0,456.0,456.0,0,18
2019-03-27,456.0,456.0,456.0,456.0,0,18
2019-03-28,456.0,456.0,456.0,456.0,0,18
2019-03-29,456.0,456.0,456.0,456.0,0,18
2019-04-01,456.0,456.0,456.0,456.0,0,18
2019-04-02,456.0,456.0,456.0,456.0,0,18
2019-04-03,456.0,456.0,456.0,456.0,0,18
2019-04-04,456.6,456.6,456.6,456.6,0,18
2019-04-08,456.6,456.6,456.6,456.6,0,18
2019-04-09,456.6,456.6,456.6,456.6,0,18
2019-04-10,456.6,456.6,456.6,456.6,0,18
2019-04-11,451.9,451.9,451.9,451.9,0,18
2019-04-12,462.6,462.6,462.6,462.6,0,18
2019-04-15,462.6,462.6,462.6,462.6,0,18
2019-04-16,462.6,462.6,462.6,462.6,0,18
2019-04-17,462.6,462.6,462.6,462.6,0,18
2019-04-18,462.6,462.6,462.6,462.6,0,18
2019-04-19,462.6,462.6,462.6,462.6,0,18
2019-04-23,483.9,483.9,483.9,483.9,0,18
2019-04-24,478.9,478.9,478.9,478.9,0,18
2019-04-25,478.9,478.9,478.9,478.9,0,18
2019-04-26,484.1,484.1,484.1,484.1,0,18
2019-04-29,484.1,484.1,484.1,484.1,0,18
2019-04-30,484.1,484.1,484.1,484.1,10,18
2019-05-06,448.8,448.8,448.8,448.8,2,18
2019-05-07,448.8,448.8,448.8,448.8,0,18
2019-05-08,449.6,449.6,449.6,449.6,0,18
2019-05-09,453.9,453.9,453.9,453.9,0,18
2019-05-10,453.9,453.9,453.9,453.9,0,18
2019-05-13,454.1,454.1,454.1,454.1,0,18
2019-05-14,459.9,459.9,459.9,459.9,0,18
2019-05-15,468.7,468.7,468.7,468.7,0,18
2019-05-16,469.4,469.4,469.4,469.4,0,18
2019-05-17,484.1,484.1,484.1,484.1,10,18
2019-05-20,484.1,484.1,484.1,484.1,0,18
2019-05-21,486.5,486.5,486.5,486.5,0,18
2019-05-22,486.5,486.5,486.5,486.5,0,18
2019-05-23,486.5,486.5,486.5,486.5,0,18
2019-05-24,486.5,486.5,486.5,486.5,12,18
2019-05-31,457.0,457.0,457.0,457.0,6,18
2019-06-03,435.0,435.0,419.0,426.1,22,20
2019-06-04,430.0,430.0,420.1,420.1,6,20
2019-06-13,416.8,416.8,416.8,416.8,2,18
2019-06-26,440.0,440.0,440.0,440.0,2,16
2019-07-04,430.7,430.7,430.0,430.0,6,16
2019-07-11,454.6,454.6,454.6,454.6,2,16
2019-07-19,432.0,437.0,425.7,425.7,134,48
2019-07-22,429.2,433.7,426.3,433.7,46,28
2019-07-23,432.7,440.3,432.7,434.1,8,26
2019-07-24,440.7,440.7,439.6,439.6,6,32
2019-07-25,442.1,442.1,436.4,438.8,16,36
2019-07-26,439.0,441.5,437.7,438.9,102,74
2019-07-29,440.7,440.7,437.0,437.0,110,126
2019-07-30,440.4,443.6,437.1,443.6,44,114
2019-07-31,443.6,450.2,442.8,448.3,44,126
2019-08-01,448.8,448.8,441.2,445.3,102,162
2019-08-02,444.3,444.5,420.1,430.6,84,182
2019-08-05,428.1,437.5,428.1,432.6,198,228
2019-08-06,432.6,433.0,427.1,429.4,162,228
2019-08-07,425.4,426.9,419.5,419.5,72,236
2019-08-08,416.7,416.7,404.5,413.9,244,310
2019-08-09,413.9,413.9,407.1,409.9,110,334
2019-08-12,412.9,422.4,412.9,416.7,94,340
2019-08-13,417.3,421.0,416.3,417.1,182,326
2019-08-14,419.0,431.5,417.2,427.7,248,298
2019-08-15,424.2,424.2,415.6,418.4,84,320
2019-08-16,415.0,415.5,410.5,415.5,146,348
2019-08-19,411.9,420.5,411.0,420.4,300,418
2019-08-20,420.2,422.0,417.7,421.6,172,426
2019-08-21,421.4,423.8,414.7,423.6,216,428
2019-08-22,427.5,428.6,421.7,422.6,206,388
2019-08-23,426.0,426.1,419.1,423.0,142,404
2019-08-26,415.0,420.8,413.5,417.7,424,458
2019-08-27,422.3,423.7,417.2,419.7,450,680
2019-08-28,419.9,426.7,416.2,425.9,450,800
2019-08-29,425.9,431.2,425.6,426.9,224,830
2019-08-30,427.0,434.4,427.0,432.0,444,944
2019-09-02,434.1,434.1,421.3,423.7,362,1054
2019-09-03,423.3,424.8,418.8,422.8,340,1152
2019-09-04,418.0,420.0,414.5,419.3,576,1230
2019-09-05,424.1,436.5,424.1,432.8,1516,1714
2019-09-06,435.3,443.2,433.3,436.0,1360,2354
2019-09-09,431.1,441.1,426.8,441.1,880,2396
2019-09-10,439.9,446.9,438.9,443.2,826,2330
2019-09-11,444.6,450.1,441.3,442.5,1064,2198
2019-09-12,442.5,444.2,429.1,430.4,844,2110
2019-09-16,469.9,469.9,457.4,459.3,2480,2522
2019-09-17,465.7,480.6,460.2,476.8,3790,2732
2019-09-18,476.4,476.4,450.4,455.8,2838,2490
2019-09-19,451.6,453.8,445.7,447.2,2396,2418
2019-09-20,452.5,455.9,449.9,452.9,1798,2572
2019-09-23,454.3,457.7,452.3,455.1,746,2592
2019-09-24,452.4,455.0,450.3,450.5,812,2656
2019-09-25,450.5,451.6,440.5,440.6,924,2754
2019-09-26,438.0,441.4,434.5,438.1,1798,2834
2019-09-27,436.0,443.0,434.9,437.4,2212,2522
2019-09-30,435.1,441.8,432.1,436.9,1644,2528
2019-10-08,424.9,429.8,422.1,429.1,1338,3232
2019-10-09,423.7,443.2,423.0,436.9,4412,3514
2019-10-10,436.9,443.8,435.0,436.8,3230,3976
2019-10-11,439.2,455.3,438.3,452.9,3758,4238
2019-10-14,451.5,461.2,451.2,459.0,3884,4000
2019-10-15,457.6,457.6,448.2,448.5,2604,3850
2019-10-16,449.2,452.0,443.6,445.5,2484,4266
2019-10-17,445.5,446.0,437.8,438.8,4504,4296
2019-10-18,439.2,441.3,436.8,441.1,3808,4682
2019-10-21,442.5,444.9,435.9,440.5,2420,4934
2019-10-22,439.2,439.7,435.0,436.9,1838,5066
2019-10-23,439.8,442.2,437.2,438.6,2830,5360
2019-10-24,436.0,444.8,434.5,444.4,4022,5198
2019-10-25,446.4,449.9,445.0,446.8,2824,5162
2019-10-28,446.3,451.7,445.0,450.8,5170,6058
2019-10-29,450.8,454.1,447.8,449.7,5712,7740
2019-10-30,447.1,452.2,445.6,447.3,7772,11080
2019-10-31,448.3,450.1,444.7,445.3,9922,13208
2019-11-01,442.7,443.6,438.2,440.1,8050,15686
2019-11-04,442.8,450.9,442.4,446.4,10126,16314
2019-11-05,450.0,455.9,449.8,454.6,16706,17926
2019-11-06,457.0,458.0,454.1,454.3,10754,18632
2019-11-07,454.3,458.6,451.3,451.6,18338,21294
2019-11-08,454.8,456.0,449.5,450.6,14974,21686
2019-11-11,449.0,455.9,444.9,450.6,16606,21854
2019-11-12,451.2,457.5,450.2,456.0,18752,23136
2019-11-13,456.0,457.8,450.2,450.4,26348,25186
2019-11-14,451.1,457.5,449.7,456.1,25930,26894
2019-11-15,457.2,457.5,450.5,450.6,35300,27950
2019-11-18,448.7,456.5,446.5,455.8,57964,29184
2019-11-19,455.8,455.8,450.1,453.1,113590,31192
2019-11-20,450.8,451.4,441.8,443.3,165824,35698
2019-11-21,446.2,453.0,444.7,452.4,180326,31362
2019-11-22,453.2,460.0,453.2,458.9,172658,34364
2019-11-25,460.6,464.9,457.5,463.3,184198,34596
2019-11-26,461.9,463.2,458.4,460.2,169044,32208
2019-11-27,462.2,465.8,459.5,463.3,153682,31740
2019-11-28,464.4,465.3,459.7,461.8,152480,32002
2019-11-29,462.2,464.0,460.5,463.5,103688,31870
2019-12-02,462.8,463.4,450.7,451.5,215772,28580
2019-12-03,453.9,455.0,449.8,450.5,168514,27036
2019-12-04,447.2,452.0,445.4,448.7,173306,27042
2019-12-05,452.4,459.2,450.4,455.7,191952,23168
2019-12-06,458.6,461.0,455.0,458.0,165356,21408
2019-12-09,457.9,469.5,455.1,467.9,200508,19802
2019-12-10,463.9,473.9,463.6,470.2,71106,10202
2019-12-11,471.0,474.1,465.3,465.4,1552,9120
2019-12-12,466.1,468.7,460.0,460.0,630,8700
