date,open,high,low,close,volume,oi
2020-08-03,362.1,364.5,362.1,364.5,2,1
2020-08-06,362.8,371.9,362.0,371.9,9,1
2020-08-24,365.2,365.2,365.2,365.2,1,0
2020-10-14,339.0,339.0,339.0,339.0,50,50
2020-10-20,339.0,339.0,339.0,339.0,2,52
2020-10-28,321.0,321.0,320.0,320.0,50,2
2020-11-03,301.0,301.0,301.0,301.0,1,3
2020-11-10,310.5,310.5,310.5,310.5,1,4
2020-11-20,312.5,312.5,309.2,312.4,4,4
2020-11-23,315.4,316.7,315.4,316.7,52,54
2020-11-24,322.4,322.4,322.4,322.4,1,54
2020-11-25,330.3,340.3,330.0,340.2,5,56
2020-11-26,340.0,340.5,337.3,337.3,14,65
2020-11-27,334.6,334.6,334.6,334.6,1,64
2020-12-02,329.0,337.0,329.0,337.0,2,66
2020-12-03,333.0,333.0,330.0,332.0,3,66
2020-12-04,336.4,339.9,336.4,339.9,9,71
2020-12-07,334.5,338.4,334.5,338.0,2,70
2020-12-08,338.5,338.6,337.3,337.3,7,68
2020-12-09,334.0,334.0,334.0,334.0,1,67
2020-12-10,333.5,333.5,333.5,333.5,1,67
2020-12-11,338.0,342.9,336.6,336.6,10,69
2020-12-14,341.8,341.8,339.5,341.0,4,66
2020-12-15,346.5,346.5,346.5,346.5,1,66
2020-12-16,343.0,346.3,337.1,338.4,8,67
2020-12-17,332.5,344.7,332.5,344.7,2,68
2020-12-21,339.4,339.4,334.5,334.5,3,66
2020-12-22,327.6,327.6,327.6,327.6,1,65
2020-12-23,328.0,328.0,326.0,326.0,2,65
2020-12-24,340.3,340.3,338.0,338.0,2,66
2020-12-28,336.8,339.0,336.1,336.1,112,99
2020-12-29,336.9,336.9,333.3,334.0,14,101
2020-12-30,334.7,334.9,329.3,333.5,34,111
2020-12-31,331.9,334.9,331.9,334.8,48,113
2021-01-04,340.3,345.0,339.1,343.6,62,134
2021-01-05,344.0,344.0,332.1,333.8,186,185
2021-01-06,335.7,347.1,334.7,341.2,238,282
2021-01-07,341.2,348.0,339.9,345.2,606,271
2021-01-08,344.3,349.6,340.6,349.5,522,256
2021-01-11,349.5,358.9,342.8,342.8,333,259
2021-01-12,345.1,350.8,341.8,350.0,376,267
2021-01-13,351.1,356.8,349.1,354.2,644,352
2021-01-14,354.1,355.2,348.4,351.8,417,373
2021-01-15,350.1,357.6,348.7,353.9,881,353
2021-01-18,353.9,354.9,347.4,351.2,244,370
2021-01-19,350.3,354.9,349.0,350.2,334,334
2021-01-20,352.0,355.6,351.2,353.0,154,344
2021-01-21,353.0,353.6,350.0,351.6,186,334
2021-01-22,350.3,353.8,347.0,347.0,318,351
2021-01-25,346.8,351.0,341.9,348.0,108,348
