date,open,high,low,close,volume,oi
2021-11-16,463.9,483.3,463.9,483.3,2,0
2022-02-08,538.6,538.6,538.6,538.6,1,1
2022-02-14,549.5,549.5,549.5,549.5,1,0
2022-03-03,621.1,621.1,621.1,621.1,3,3
2022-03-04,591.3,591.3,575.9,575.9,3,5
2022-03-07,622.2,627.4,621.8,627.4,5,3
2022-03-08,664.0,664.0,664.0,664.0,1,3
2022-03-10,695.7,695.7,605.2,605.2,2,3
2022-03-11,616.8,616.8,616.8,616.8,1,2
2022-03-18,605.3,605.3,605.3,605.3,1,3
2022-03-21,600.0,600.0,600.0,600.0,1,3
2022-03-24,630.7,630.7,630.7,630.7,1,3
2022-03-28,627.0,627.0,627.0,627.0,1,3
2022-03-31,604.0,604.0,604.0,604.0,1,4
2022-04-06,631.8,631.8,631.8,631.8,1,4
2022-04-07,635.7,635.8,610.0,610.8,7,8
2022-04-08,613.0,613.0,613.0,613.0,1,8
2022-04-14,651.9,653.9,651.9,652.4,3,7
2022-04-15,656.8,656.9,656.8,656.9,2,7
2022-04-18,670.2,675.0,670.2,675.0,4,8
2022-04-20,648.0,651.0,628.1,651.0,5,9
2022-04-25,643.8,643.8,618.7,620.4,3,9
2022-04-26,609.1,634.5,606.8,627.8,65,27
2022-04-27,636.0,648.4,630.2,640.6,62,50
2022-04-28,633.0,642.0,621.8,630.8,57,53
2022-04-29,638.3,656.8,635.0,648.4,86,91
2022-05-05,671.1,671.5,663.7,669.3,27,103
2022-05-06,680.2,682.6,658.0,675.5,207,263
2022-05-09,675.3,686.4,668.1,676.0,72,285
2022-05-10,670.5,672.3,625.3,626.6,125,287
2022-05-11,633.4,646.8,623.7,643.3,185,278
2022-05-12,645.0,668.2,645.0,659.6,404,341
2022-05-13,663.5,683.2,663.5,676.1,140,361
2022-05-16,686.9,691.7,673.2,680.8,191,366
2022-05-17,685.7,704.9,684.0,697.4,156,396
2022-05-18,696.0,699.7,678.5,680.5,123,389
2022-05-19,690.2,690.2,662.0,673.2,256,418
2022-05-20,650.8,679.8,650.8,675.9,116,422
2022-05-23,679.9,685.1,668.4,680.9,100,441
2022-05-24,678.5,678.5,665.8,667.0,219,455
2022-05-25,675.8,687.6,674.3,685.0,225,507
2022-05-26,685.1,689.0,677.2,687.0,132,543
2022-05-27,688.0,714.3,688.0,703.1,294,561
2022-05-30,698.5,716.2,698.5,702.2,124,550
2022-05-31,705.1,724.9,702.3,722.3,125,573
2022-06-01,723.1,726.7,694.0,705.4,160,566
2022-06-02,708.4,713.5,682.8,696.3,332,558
2022-06-06,734.0,735.9,724.1,728.1,513,627
2022-06-07,725.8,733.3,721.2,731.0,275,724
2022-06-08,724.9,736.0,721.8,733.3,181,727
2022-06-09,748.7,755.1,733.8,746.2,252,744
2022-06-10,741.8,749.1,738.0,742.5,153,743
2022-06-13,744.5,744.7,724.3,726.3,185,746
2022-06-14,730.0,743.4,720.9,742.5,315,807
2022-06-15,745.0,750.8,725.0,726.0,228,841
2022-06-16,721.8,722.9,711.0,714.4,210,862
2022-06-17,711.3,718.2,697.3,717.3,407,911
2022-06-20,717.3,717.3,667.1,674.4,648,911
2022-06-21,674.4,694.1,672.3,687.6,1078,1703
2022-06-22,693.4,696.5,663.0,663.0,1508,2145
2022-06-23,658.6,682.7,654.1,676.3,1123,2345
2022-06-24,682.1,686.0,653.4,660.6,922,2387
2022-06-27,676.1,684.4,661.2,678.7,2140,2264
2022-06-28,679.1,704.3,672.0,703.0,2284,2347
2022-06-29,705.1,710.2,698.1,702.0,1728,2411
2022-06-30,712.1,717.7,692.0,692.2,1829,2389
2022-07-01,693.0,693.0,663.3,666.2,2390,2462
2022-07-04,682.8,685.7,671.0,681.4,1516,2717
2022-07-05,689.1,695.9,683.6,683.8,1375,2952
2022-07-06,676.9,677.1,610.8,624.9,4767,2382
2022-07-07,620.9,627.0,602.7,611.7,5139,1966
2022-07-08,619.9,644.2,619.5,639.0,2983,2068
2022-07-11,641.6,658.0,638.0,648.0,3245,2016
2022-07-12,628.0,653.1,628.0,641.3,2999,2124
2022-07-13,628.4,631.6,603.3,619.1,3710,2247
2022-07-14,608.4,620.4,604.5,608.2,3663,2833
2022-07-15,605.8,608.4,582.3,593.8,4980,3084
2022-07-18,607.5,630.0,601.1,629.0,5649,4082
2022-07-19,630.5,645.0,630.5,637.9,5215,5375
2022-07-20,629.1,646.6,622.8,637.4,5117,6612
2022-07-21,634.9,644.3,631.0,633.9,4268,7347
2022-07-22,618.0,634.8,617.6,633.7,6523,7627
2022-07-25,620.0,631.8,608.2,610.9,7342,8683
2022-07-26,625.6,642.7,619.4,641.1,6876,9896
2022-07-27,641.1,644.1,622.0,626.0,5313,10413
2022-07-28,630.3,658.0,624.1,658.0,6838,10828
2022-07-29,659.2,659.9,642.4,651.9,5980,11308
2022-08-01,661.0,674.7,650.9,656.8,6476,11300
2022-08-02,645.4,650.8,631.9,649.8,10809,10901
2022-08-03,649.8,663.0,645.2,652.0,10619,10619
2022-08-04,666.0,666.0,630.0,633.7,9424,10902
2022-08-05,634.7,635.1,617.0,623.3,7371,10797
2022-08-08,617.8,632.4,610.7,628.8,6562,11474
2022-08-09,617.0,640.2,615.9,634.7,6940,12390
2022-08-10,643.9,647.5,631.2,634.6,5411,12540
2022-08-11,636.5,652.1,623.0,649.5,7883,13169
2022-08-12,657.5,660.6,649.4,658.2,5656,13551
2022-08-15,651.4,654.7,644.1,648.0,5904,14060
2022-08-16,626.0,642.5,622.5,639.6,9236,14510
2022-08-17,645.0,647.8,632.0,639.0,11810,14963
2022-08-18,636.9,653.9,635.5,650.6,9744,15616
2022-08-19,664.6,671.7,655.8,663.0,11643,16616
2022-08-22,659.5,677.6,658.3,668.4,11314,16351
2022-08-23,671.7,685.1,656.3,685.0,16022,16751
2022-08-24,689.1,697.8,683.6,697.6,19740,17822
2022-08-25,697.6,709.0,688.6,700.0,25649,18477
2022-08-26,700.6,705.9,688.4,695.0,17212,18307
2022-08-29,686.7,702.5,676.8,699.2,29734,19242
2022-08-30,702.2,715.3,699.0,709.6,28920,22999
2022-08-31,700.4,701.2,681.1,693.2,34242,23242
2022-09-01,676.5,686.7,661.5,663.3,42389,24357
