,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2023-10-11,-0.029271533980443465,-0.008705558527872803,-0.05931456401069113,0.022299512039038485,0.6674239813066252,0.15000000000000036,1.3844373104863457,-1.3844373104863463,-0.2601368563330189,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-12,-0.006971182077782245,0.007263075143574049,-0.06209423670830372,0.021739423999307332,0.5562581870922623,0.019999999999999574,1.3063945294843617,-1.3063945294843606,-0.5312934474212194,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-13,0.05605218566313752,0.05750058664054958,-0.004316002707802191,0.02551327689888091,-0.1938287708045605,0.15000000000000036,1.2403473458920853,-1.2403473458920844,-0.18085420226554258,0.719874395824753,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-16,-0.011815451479501249,0.0032362487792081396,-0.013425056545163017,0.025505013583052804,-0.1938287708045605,0.15000000000000036,1.183500486131459,-1.1835004861314604,-0.36465315365034373,0.719874395824753,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-17,0.0,0.007994018125410562,-0.01087193250673657,0.025511952242615203,-0.15618873456211269,-0.16999999999999993,1.1338934190276813,-1.1338934190276826,-0.9118088334937418,-1.08518850767469,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-18,0.018974166217021526,0.056239718322875554,0.00919970218131283,0.025884190784537745,-0.8512686762287558,-0.33000000000000007,1.0901050006613322,-1.0901050006613338,-0.5419510597161575,-0.2818142033831386,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-19,0.011818472864516316,0.07502937326517412,0.02116342654462766,0.025996928212055893,-0.4771524412365613,-0.28000000000000025,1.051076545624485,-1.0510765456244868,-0.15334856822537674,0.3779448791958427,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-20,-0.006961627037775919,0.012015560564260674,0.014917775495094432,0.026015957698840235,-0.013430920568247018,-0.2999999999999998,1.0160010160015254,-1.0160010160015236,0.23401802492384025,0.4148722271893828,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-23,0.0,0.023831012043761923,0.015438993015512992,0.026005483003535557,0.027489792691282045,-0.15000000000000036,0.9842509842514763,-0.9842509842514766,0.317192749493182,0.6818459031435258,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-24,-0.058106667764527664,-0.03427565572076574,-0.038846830688048506,0.028907358513847542,-0.4234885908242614,-0.0,0.9553302944424503,-0.955330294442452,0.16013022332610685,1.0719390568198486,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-25,0.01951223732851748,-0.03373758460926979,-0.014701807291032765,0.027949562528347485,0.02237212352643736,-0.040000000000000036,0.928840728025648,-0.9288407280256493,0.1624239296623198,0.7043749893784773,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-26,-0.025861465007176676,-0.07141752248096278,-0.03570007771528427,0.028112309164845035,-0.16833874537551807,0.1200000000000001,0.9044584638234947,-0.9044584638234943,0.16388069738040087,0.3172292656057776,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-27,0.027616569886424358,-0.0368393255567625,-0.005105255599614722,0.02899398551808647,-0.006471863573120906,0.08999999999999986,0.8819171036881961,-0.8819171036881961,0.3265803370663476,0.09256231214250735,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-30,-0.03849149581420974,-0.07533082137097225,-0.0397907892698548,0.029789097021506318,-0.09976915202709602,-0.019999999999999574,0.8609952040010093,-0.8609952040010105,0.743448302248833,0.42625555275565097,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-31,-0.015796569210008826,-0.03302072281645341,-0.05076129507298699,0.02983518436506959,-0.15755215073243178,-0.04999999999999982,0.8415069644939746,-0.8415069644939766,0.6697464921129438,0.509616268786837,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
